id	city	lng	lat
cnl00009440	Gien	2.6297	47.7
cnl00009583	Gradisca d'Isonzo	13.5	45.89
cnl00009618	Gravesend, Kent	0.37	51.4297
cnl00009621	Great Yarmouth	1.74	52.6
cnl00009728	Guadalajara	-3.1697	40.63
cnl00010297	Chios	26.14	38.3697
cnl00011116	Leominster	-2.7297	52.2297
cnl00011391	Lunéville	6.5	48.6
cnl00012888	Pont-l'Évêque, Calvados	0.18	49.2997
cnl00012936	Poschiavo	10.05	46.3297
cnl00014436	Stuhlweißenburg	18.41	47.1897
cnl00014637	Thun	7.62	46.75
cnl00014913	Uzès	4.4197	44.02
cnl00015004	Verdun	5.3797	49.17
cnl00000063	Ashby de la Zouch	-1.4756	52.7456
cnl00000099	Bonaduz	9.4	46.8167
cnl00000357	Daventry	-1.1597	52.2597
cnl00000476	Sceaux	2.2831	48.7831
cnl00000488	Friedrichswerder	13.4	52.5167
cnl00000506	Weria	22.1997	40.5167
cnl00000613	Tannenberg	21.25	53.4942
cnl00001818	Alcalá de Guadaíra	-5.8497	37.3331
cnl00001841	Assche	4.2	50.8997
cnl00002314	Alcobaça	-8.9831	39.5497
cnl00002382	Blandford Forum	-2.1628	50.8614
cnl00002482	Geertruidenberg	4.8667	51.7
cnl00002811	Altstätten	9.55	47.3831
cnl00002883	Careggi	11.2467	43.8058
cnl00003156	Montreuil, Seine-Saint-Denis	2.45	48.8667
cnl00003653	Ainay-le-Château	2.6931	46.7117
cnl00006585	Veere	3.6697	51.5497
cnl00006685	Aire-sur-la-Lys	2.3997	50.63
cnl00006795	Altenberg	15.57	49.42
cnl00006866	Adrianopel	26.5597	41.6797
cnl00006907	Appenzell	9.4	47.3297
cnl00006953	Armentières	2.8797	50.6797
cnl00007359	Bermondsey	-0.08	51.5
cnl00007387	Béthune, Pas-de-Calais	2.6297	50.53
cnl00007405	Bex	7.0197	46.25
cnl00007734	Brindisi	17.67	40.5797
cnl00007739	Neu-Breisach	7.53	48.02
cnl00007787	Bruyères	6.7197	48.2
cnl00007996	Capri	14.24	40.5497
cnl00008041	Cascia	13.0197	42.7197
cnl00008125	Cavaillon	5.03	43.8297
cnl00008175	Charlottesville	-78.48	38.03
cnl00008187	Châteaudun	1.33	48.0797
cnl00000151	Berwick	-2.0067	55.7706
cnl00001077	Oczakow	31.5392	46.6139
cnl00008429	Crediton	-3.6497	50.78
cnl00002333	Arkadien	22.25	37.5831
cnl00008549	Delfshaven	4.45	51.8997
cnl00002853	Bistritz	24.5075	47.1408
cnl00008645	Dietikon	8.4	47.4097
cnl00008828	Eeklo	3.5697	51.1797
cnl00003140	Montserrat	1.8367	41.5931
cnl00009103	Faro	-7.9297	37.02
cnl00003700	Alburgh	1.3333	52.4339
cnl00004653	Este	11.6667	45.2331
cnl00009463	Glarus	9.07	47.03
cnl00005311	Stauropolis	28.7219	37.7089
cnl00009699	Groß Wartenberg	17.7197	51.2997
cnl00006949	Arles	4.6297	43.67
cnl00009746	Guingamp	-3.1497	48.5497
cnl00010036	Herisau	9.2697	47.3997
cnl00007076	Avesnes-sur-Helpe	3.93	50.1197
cnl00010398	Jauer	16.1797	51.0497
cnl00008276	Starigrad	15.4397	44.2897
cnl00008398	Cortemaggiore	9.9297	44.9797
cnl00010552	Kendal, Westmoreland	-2.75	54.32
cnl00008467	Cuenca	-5.03	42.0397
cnl00010877	La Réole	-0.03	44.5797
cnl00008712	Doué-la-Fontaine	-0.28	47.2
cnl00011469	Malans	9.57	46.9697
cnl00011510	Maribor	15.65	46.5497
cnl00009204	Fougères	-1.1997	48.35
cnl00011961	Moûtiers	6.53	45.4797
cnl00010811	Crommenie	4.7697	52.5
cnl00010839	Kürnbach	8.8497	49.0797
cnl00012231	Newport, Wight	-1.29	50.7
cnl00010893	Laaber	11.88	49.07
cnl00012619	Pápa	17.4697	47.3297
cnl00011857	Montefiascone	12.0297	42.53
cnl00012621	Příbram	14.0097	49.6897
cnl00012708	Périgueux	0.7197	45.1797
cnl00012006	Murano	12.3497	45.46
cnl00012878	Brody	18.76	53.8597
cnl00013118	Ravenstein	5.65	51.7997
cnl00013975	Sées	0.17	48.6
cnl00012958	Prato	11.0997	43.88
cnl00014394	Saint-Pol-de-Léon	-3.9797	48.6797
cnl00013089	Rapperswil	8.82	47.2197
cnl00014666	Dokkum	6.0	53.3297
cnl00013295	Rochefort	-0.9797	45.9297
cnl00014009	Senlis	2.58	49.2
cnl00014360	Château-du-Loir	0.4197	47.7
cnl00014628	Tholen	4.2197	51.53
cnl00014749	Tréguier	-3.2297	48.78
cnl00014961	Vasto	14.6997	42.1197
cnl00014993	Vendôme	1.07	47.7997
cnl00015013	Versoix	6.1697	46.28
cnl00015094	Villeneuve	6.9297	46.3997
cnl00015437	Wettingen	8.32	47.4697
cnl00015617	Woddstock, Oxford	-1.35	51.85
cnl00015703	Zakliczyn	20.82	49.8697
cnl00015989	Angoulême	0.15	45.6497
cnl00016272	Arnstein	7.8517	50.3103
cnl00016327	Ootmarsum	6.9	52.4097
cnl00016384	Aszód	19.4892	47.6514
cnl00016385	Bácsalmás	19.3258	46.1239
cnl00016394	Bán	18.2581	48.7183
cnl00016406	Békéscsaba	21.0906	46.6789
cnl00016407	Belényes	22.35	46.6497
cnl00016412	Bethlen	24.1794	47.1794
cnl00016416	Bikszád	23.4331	47.9331
cnl00016456	Derecske	21.5717	47.3533
cnl00016543	Jászárokszállás	19.9781	47.6444
cnl00016633	Mezőberény	21.0167	46.8167
cnl00016663	Nagyberezna	22.46	48.8919
cnl00016666	Aiud	23.7197	46.2997
cnl00016717	Palánka	19.3883	45.2506
cnl00016737	Petrőc	19.5881	45.3564
cnl00016762	Ruttka	18.925	49.1108
cnl00016794	Szamosújvár	23.8997	47.02
cnl00026594	Biggar	-3.5156	55.6217
cnl00015128	Vitry-le-François	4.58	48.7297
cnl00015330	Weinfelden	9.0997	47.57
cnl00015505	Williamsburg	-76.7	37.27
cnl00015686	Zaandijk	4.7997	52.4797
cnl00016375	Adony	18.8653	47.1189
cnl00016386	Bácsföldvár	20.0233	45.5264
cnl00016400	Bátaszék	18.7233	46.1969
cnl00016405	Békés	21.1331	46.7667
cnl00016409	Berettyóújfalu	21.55	47.2167
cnl00016514	Hajdúböszörmény	21.5167	47.6667
cnl00016549	Jolsva	20.2403	48.6278
cnl00016660	Nagyatád	17.3569	46.2297
cnl00016711	Ószivác	19.3742	45.7025
cnl00016719	Pankota	21.6867	46.3222
cnl00016750	Ráckeve	18.9475	47.1497
cnl00016478	Élesd	22.3967	47.0569
cnl00014478	Susa	7.0497	45.14
cnl00014623	Thiers	3.5697	45.85
cnl00015092	Villefranche-de-Rouergue	2.0497	44.35
cnl00015114	Vire	-0.8797	48.8297
cnl00015844	Viviers	4.6797	44.4797
cnl00016382	Arad	21.75	46.3297
cnl00016441	Tschapring	16.7056	47.4003
cnl00016661	Nagybánya	23.5667	47.6497
cnl00016664	Nagybiccse	18.5581	49.2228
cnl00002801	Agde	3.4831	43.3167
cnl00003722	Auburn	-76.5667	42.9331
cnl00004141	Merklingen	9.75	48.5167
cnl00006727	Alençon	0.08	48.4297
cnl00008120	Catanzaro	16.4297	38.92
cnl00016282	Brielle	4.1697	51.8997
cnl00016374	Ada	20.1219	45.8014
cnl00010926	Lancaster	-71.67	42.46
cnl00016383	Aranyosmarót	18.3967	48.3781
cnl00013206	Rethel	4.37	49.52
cnl00016401	Battonya	21.0164	46.2831
cnl00013957	Scigliano	16.3	39.13
cnl00016789	Stubnyafürdő	18.8633	48.8589
cnl00016404	Békásmegyer	19.05	47.6
cnl00016544	Jászberény	19.9167	47.5
cnl00001781	Mekka	39.8331	21.4167
cnl00002798	Montelimar	4.75	44.5667
cnl00003692	Adua	38.8997	14.1667
cnl00011117	León	-5.57	42.6
cnl00013561	Saint-Lô	-1.08	49.1197
cnl00013983	Senj	14.9	44.99
cnl00014477	Sursee	8.0997	47.17
cnl00005045	Alphen aan den Rijn	4.65	52.1331
cnl00001973	Dax	-1.0553	43.7069
